Wolnica;49.90523;20.77602;MT;408.0;367
Dąbrowa (Wilkówka);49.91871;20.74485;MT;409.0;397
Kamionka;49.92796;20.71104;MT;382.0;387
Ostra Góra;49.93392;20.92734;MT;350.0;343
Klimont;49.89985;20.94405;MT;422.0;412
Wal Rychwaldzki (Wał Rychwałdzki);49.89152;20.9276;MT;476.0;471
Jurasowka - Wielkie Gory (Jurasówka - Wielkie Góry);49.87162;20.89656;MT;458.0;451
Pogorzalki (Pogorzałki);49.8775;20.90576;MT;422.0;419
Wichrowka (Wichrówka);49.89379;20.90356;MT;441.0;439
Dzialy (Działy);49.90485;20.87385;MT;395.0;395
Wal (Wał Szczepanowicki);49.94267;20.90456;MT;307.0;298
Wola Szczepanowicka;49.92613;20.91184;MT;398.0;393
Gorskie (Górskie);49.93829;20.99481;MT;403.0;391
Koszyckie Wzgórze (Dział);49.9863;20.94067;MT;244.0;239
Sylwków Gronik;49.41791;20.39472;MTS;808.0;790
Majerz;49.43361;20.34162;PK;689.0;680
Hrube;49.52985;20.0603;MT;1027.0;1031
Szpica;49.4906;20.14335;MTS;713.0;699
Zbyrcok;49.5333;20.0416;PK;985.0;986
Przysłopek;49.56515;20.15235;PK;1123.0;1119
Czółko;49.54137;20.03031;PK;1027.0;1019
Suchy Dział;49.52143;20.00575;PK;779.0;781
Gronik;49.51956;20.02016;PK;784.0;778
Cupryna;49.51175;20.05813;PK;757.0;750
Tobołów;49.57537;20.06692;PK;994.0;984
Tobołczyk;49.57994;20.06876;PK;969.0;965
Góra Groń;49.60112;20.08593;PK;766.0;754
Starmachów Groń;49.6032;20.08009;PK;748.0;738
Czechowa Góra;49.59969;20.10491;PK;706.0;702
Frączków Groń;49.59548;20.11645;PK;780.0;780
Zvonárka;49.09964;20.46657;MT;820.0;820
Tatry;49.13815;20.21931;MTS;994.0;994
Veža;49.15;20.25;MT;983.0;983
Veterný Vrch;49.33581;20.52309;MTS;1068.0;1068
Vysoká;49.17273;20.09438;MT;2547.0;2515
Wielka Polana;49.31667;20.88333;MT;779.0;779
Varta;49.10513;20.11153;MT;1042.0;1042
Turová;49.33333;20.55;MTS;820.0;820
Svätá Anna;49.28333;20.55;MT;756.0;756
Stežky;49.20784;20.27621;MT;1530.0;1497
Steinberg;49.21667;20.55;MT;792.0;792
Spišská Magura;49.28404;20.37306;MTS;873.0;873
Spišská;49.10626;20.76213;MT;1053.0;1053
Solivka;49.37845;20.73253;MT;825.0;825
Solisko;49.30855;20.28181;MTS;1114.0;1114
Smrekovica;49.04648;20.87138;MT;1190.0;1190
Slavkovský štít;49.16588;20.18472;MT;2452.0;2419
Škapová;49.1381;20.66321;MT;1231.0;1231
Široká;49.20916;20.1373;MT;2210.0;2159
