offset,threshold,correct,max_matches,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,extra_info
100,40,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
200,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
200,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
200,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
300,15,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
300,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
300,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
400,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
400,13,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
400,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
500,20,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
500,14,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
500,25,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;orb;dilated_dilated
50,400,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
50,500,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
50,600,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
150,400,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
150,480,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
150,550,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
100,400,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
100,500,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
100,550,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
200,400,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
200,500,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
200,550,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
300,400,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
300,450,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
300,500,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
400,400,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
400,450,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
400,510,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
500,400,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
500,450,179,0,0,0,179,199,0.473544973544974,0,0,0,flann;threshold;sift;dilated_1px
